Model,MSO4034B
Firmware Version,2.52

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,4e-08
Horizontal Delay,4e-08
Sample Interval,4e-10
Record Length,10000
Gating,44.9900% to 55.00%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0.06024
Vertical Scale,0.001
Vertical Position,-5
,
,
,
Label,
TIME,CH1
-1.6040e-07,0.06488
-1.6000e-07,0.0646
-1.5960e-07,0.06424
-1.5920e-07,0.06384
-1.5880e-07,0.0636
-1.5840e-07,0.06396
-1.5800e-07,0.06496
-1.5760e-07,0.06616
-1.5720e-07,0.06716
-1.5680e-07,0.06752
-1.5640e-07,0.06748
-1.5600e-07,0.06716
-1.5560e-07,0.06688
-1.5520e-07,0.06672
-1.5480e-07,0.06644
-1.5440e-07,0.06592
-1.5400e-07,0.06528
-1.5360e-07,0.06492
-1.5320e-07,0.0648
-1.5280e-07,0.06524
-1.5240e-07,0.06576
-1.5200e-07,0.06608
-1.5160e-07,0.06612
-1.5120e-07,0.06616
-1.5080e-07,0.06616
-1.5040e-07,0.066
-1.5000e-07,0.06564
-1.4960e-07,0.06524
-1.4920e-07,0.06464
-1.4880e-07,0.06428
-1.4840e-07,0.06436
-1.4800e-07,0.06476
-1.4760e-07,0.06524
-1.4720e-07,0.0656
-1.4680e-07,0.06584
-1.4640e-07,0.06596
-1.4600e-07,0.06604
-1.4560e-07,0.06604
-1.4520e-07,0.06592
-1.4480e-07,0.06556
-1.4440e-07,0.06508
-1.4400e-07,0.06468
-1.4360e-07,0.0648
-1.4320e-07,0.06548
-1.4280e-07,0.06628
-1.4240e-07,0.06672
-1.4200e-07,0.0664
-1.4160e-07,0.0658
-1.4120e-07,0.06516
-1.4080e-07,0.0648
-1.4040e-07,0.06472
-1.4000e-07,0.06504
-1.3960e-07,0.06568
-1.3920e-07,0.0664
-1.3880e-07,0.06684
-1.3840e-07,0.0668
-1.3800e-07,0.06632
-1.3760e-07,0.0656
-1.3720e-07,0.06496
-1.3680e-07,0.0646
-1.3640e-07,0.06456
-1.3600e-07,0.06468
-1.3560e-07,0.06496
-1.3520e-07,0.06528
-1.3480e-07,0.0658
-1.3440e-07,0.06628
-1.3400e-07,0.06664
-1.3360e-07,0.06656
-1.3320e-07,0.06608
-1.3280e-07,0.06548
-1.3240e-07,0.06524
-1.3200e-07,0.06544
-1.3160e-07,0.06572
-1.3120e-07,0.0656
-1.3080e-07,0.06508
-1.3040e-07,0.06472
-1.3000e-07,0.0652
-1.2960e-07,0.06648
-1.2920e-07,0.06768
-1.2880e-07,0.06808
-1.2840e-07,0.0674
-1.2800e-07,0.06616
-1.2760e-07,0.06508
-1.2720e-07,0.06468
-1.2680e-07,0.0648
-1.2640e-07,0.065
