Model,MSO4034B
Firmware Version,2.52

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,1e-08,,
Horizontal Delay,6.51e-08,,
Sample Interval,4e-10,,
Record Length,10000,,
Gating,48.7400% to 51.2500%,,
Probe Attenuation,1,,
Vertical Units,V,,
Vertical Offset,0.0318,,
Vertical Scale,0.01,,
Vertical Position,-3.68,,
,,,
,,,
,,,
Label,,,
TIME,CH1,CH2,CH3
1.4700e-08,0.0898,-1.72,0.0548
1.5100e-08,0.0898,-1.8,0.0544
1.5500e-08,0.0894,-1.72,0.054
1.5900e-08,0.089,-1.72,0.054
1.6300e-08,0.0886,-1.72,0.0544
1.6700e-08,0.0878,-1.68,0.0536
1.7100e-08,0.0874,-1.76,0.0548
1.7500e-08,0.0882,-1.76,0.0556
1.7900e-08,0.0886,-1.76,0.0556
1.8300e-08,0.089,-1.76,0.0548
1.8700e-08,0.0902,-1.72,0.0552
1.9100e-08,0.091,-1.76,0.0556
1.9500e-08,0.0906,-1.72,0.0556
1.9900e-08,0.0902,-1.76,0.054
2.0300e-08,0.0902,-1.76,0.052
2.0700e-08,0.0898,-1.76,0.0528
2.1100e-08,0.0882,-1.76,0.0532
2.1500e-08,0.0882,-1.72,0.0548
2.1900e-08,0.0882,-1.76,0.0552
2.2300e-08,0.089,-1.68,0.06
2.2700e-08,0.089,-1.72,0.064
2.3100e-08,0.0902,-1.72,0.068
2.3500e-08,0.0894,-1.76,0.0708
2.3900e-08,0.0894,-1.76,0.072
2.4300e-08,0.089,-1.76,0.0744
2.4700e-08,0.0906,-1.76,0.0768
2.5100e-08,0.091,-1.72,0.0792
2.5500e-08,0.0898,-1.72,0.08
2.5900e-08,0.0882,-1.8,0.0824
2.6300e-08,0.087,-1.72,0.084
2.6700e-08,0.0878,-1.76,0.0852
2.7100e-08,0.091,-1.76,0.0828
2.7500e-08,0.093,-1.76,0.08
2.7900e-08,0.093,-1.76,0.0788
2.8300e-08,0.0906,-1.76,0.0768
2.8700e-08,0.0882,-1.76,0.0768
2.9100e-08,0.0874,-1.76,0.0776
2.9500e-08,0.087,-1.76,0.08
2.9900e-08,0.0882,-1.76,0.0828
3.0300e-08,0.0882,-1.76,0.0836
3.0700e-08,0.0894,-1.72,0.0848
3.1100e-08,0.0902,-1.72,0.0824
3.1500e-08,0.091,-1.72,0.0828
3.1900e-08,0.0906,-1.8,0.0816
3.2300e-08,0.0894,-1.72,0.0808
3.2700e-08,0.0886,-1.68,0.0812
3.3100e-08,0.087,-1.76,0.0812
3.3500e-08,0.0866,-1.72,0.0788
3.3900e-08,0.087,-1.72,0.0732
3.4300e-08,0.0882,-1.72,0.068
3.4700e-08,0.0898,-1.72,0.0636
3.5100e-08,0.091,-1.72,0.0604
3.5500e-08,0.0914,-1.76,0.058
3.5900e-08,0.0914,-1.72,0.0564
3.6300e-08,0.0898,-1.76,0.0568
3.6700e-08,0.0886,-1.72,0.0572
3.7100e-08,0.0894,-1.76,0.058
3.7500e-08,0.089,-1.76,0.0576
3.7900e-08,0.0898,-1.72,0.0572
3.8300e-08,0.089,-1.72,0.0572
3.8700e-08,0.0886,-1.72,0.0564
